responses,detection_time
"['19.535344827586215', '19.193060346926856', '19.129846803670347', '19.092973180893413', '19.052813878326738', '19.073674000429403', '19.06442403245579', '19.06492204317785', '19.109697583465653', '19.100291288405245', '19.107760138265846', '19.107770830403453']",120.0
"['20.261612737180307', '30.275281309556103', '34.041322200596994', '32.40801949531835', '29.663144864192063', '29.02511499455718', '27.89658337735781', '28.83834569298509', '28.314624589326655', '27.995206529086012', '27.99575093373469']",120.0
"['55', '47.610256410256575', '43.60105263157903', '43.16439790575915', '42.21517857142876', '40.958250497017794', '41.05724137931037', '40.7318363273455', '40.07534039334329', '39.521098118963124', '39.557855048177544', '39.557855048177544']",120.0
"['53.940000000000055', '34.85144299512666', '34.663059535161864', '38.00495714700752', '39.45436465308181', '39.6905800474142', '41.39590880846367', '40.846302423804964', '39.785475523181795', '39.06067689340031', '39.103766729931976', '39.10423507962513']",120.0
"['48.43193786251415', '56.230345091664354']",40.0
"['47.77857142857139', '42.13488372093021', '38.36377952755895', '40.64377682403461', '38.5764397905761', '38.24712837837826', '39.342995169081966', '39.31474694589879', '39.81486761710829', '40.130122029543934', '40.13171131766002', '40.13171131766002']",120.0
"['57.2962962962959']",20.0
"['43.80649970474248', '42.733995912044996', '40.58332357878286', '38.7007747003763', '40.5852752889865', '39.45185307448764', '41.81605222918768', '41.650864395554635', '42.881645835847294', '42.35838620475406', '42.358418926441']",120.0
"['58.999999999999886']",20.0
"['50.6818181818182', '38.69766562408055', '34.32892891227285', '35.65429934928076', '37.24891518564636', '39.39664048008271', '39.669616471932045', '40.664940539499355', '41.711076810744764', '42.276680479583604', '41.86498147263222', '41.865632681330084']",120.0
"['40.09090909090901', '36.249999999999915', '39.25357142857129', '38.89466666666673', '38.82340425531936', '39.28925619834718', '39.5021276595743', '38.58000000000009', '39.10099999999994', '39.77172131147563', '39.66490566037748', '39.66490566037748']",120.0
"['60.925925925925924']",20.0
"['34.71262382213845', '36.31742771050268', '37.629891734294034', '38.733476664226295', '39.13774373584343', '38.944016322391235', '39.74418619073854', '40.8758113073442', '40.785035629047414', '40.87243281117654', '40.87246524240268']",120.0
"['48.64545454545455', '42.87018923067573', '43.34204797184447', '43.10483641173399', '43.1950224389517', '42.98864094198428', '42.11828428077395', '42.143997769140704', '42.89161275571827', '43.71475187604316', '43.583365190773094', '43.58389193968752']",120.0
"['49.94402924022907', '41.95448328031795', '39.686944242359615', '39.37087046873554', '38.69134514733386', '38.757534691100375', '38.71046213106088', '39.65871653450293', '39.907298526072196', '39.57115694216342', '39.57157366710955']",120.0
"['39.45384615384596', '38.958536585365806', '42.65922330097095', '43.74008438818543', '44.051499999999635', '44.95953947368385', '46.632389162561466', '44.51373307543521', '45.75621345029242', '45.487346938775445', '44.64798792756505', '44.64798792756505']",120.0
"['71.29629629629626']",20.0
"['36.33913043478285', '42.14146341463424', '41.73620689655149', '41.33199999999973', '41.32400000000018', '41.31929824561417', '39.58461538461526', '39.78480392156848', '38.947465437787805', '39.19196787148585', '38.43878326996206', '38.43878326996206']",120.0
"['50.52272727272654', '43.07292673479521', '42.313614294433904', '41.63634939437589', '43.50982374995522', '43.38339503689305', '44.88726557610337', '43.06617980163106', '42.91554070830256', '42.666127537171015', '42.39205177178207', '42.392830857231985']",120.0
